Lake,Ducks,Fish,Area
1,84,2.31,0.613932427950203
2,84,2.31,0.620774642564356
3,87,2.32,0.645653265528381
4,103,2.36,0.721579452976584
5,112,2.39,0.779437557794154
6,93,2.4,0.794693043455482
7,94,2.4,0.804311688058078
8,88,2.42,0.84497160743922
9,132,2.56,1.1273425668478
10,140,2.61,1.21399574168026
11,142,2.62,1.23376329988241
12,167,2.68,1.36050819046795
13,147,2.76,1.51376118790358
14,173,2.9,1.79321497026831
15,170,2.93,1.8643204299733
16,190,2.98,1.9643408274278
17,162,3.01,2.02552216406912
18,180,3.02,2.03969142772257
19,184,3.12,2.23988231737167
20,183,3.12,2.24505088105798
21,194,3.2,2.40830060187727
22,215,3.23,2.46172230597585
23,201,3.28,2.56150376331061
24,176,3.3,2.60814159922302
25,208,3.33,2.66368274856359
26,218,3.5,3.00656529515982
27,202,3.51,3.01184307131916
28,249,3.53,3.05472150724381
29,225,3.6,3.19735117256641
30,216,3.61,3.21524768136442
31,224,3.62,3.23131247144192
32,205,3.65,3.29428984876722
33,220,3.67,3.33215237688273
34,214,3.69,3.38664329238236
35,223,3.71,3.42661550920457
36,257,3.73,3.46149438433349
37,208,3.78,3.5646092267707
38,216,3.79,3.58205620199442
39,206,3.94,3.8724624235183
40,223,4.01,4.02530279383063
41,213,4.02,4.04517263639718
42,215,4.06,4.11038678046316
43,207,4.06,4.11522461473942
44,225,4.07,4.14686137530953
45,205,4.13,4.26488851755857
46,232,4.16,4.32899098098278
47,215,4.17,4.33457218948752
48,238,4.19,4.38354560360312
49,201,4.2,4.40987301710993
50,227,4.25,4.49948819447309
