males,color,width,weight
1,5,21,1850
1,4,22,1400
1,4,22.5,1550
2,3,22.5,1600
5,5,22.5,1475
5,3,22.9,1600
1,3,22.9,1600
1,3,22.9,1600
2,4,23,1650
1,4,23,1800
1,4,23.1,1650
1,4,23.1,1550
1,3,23.1,2000
5,3,23.2,1950
1,5,23.4,1900
1,5,23.5,1900
1,3,23.7,1950
1,5,23.7,1850
1,5,23.7,1800
1,3,23.8,2100
7,4,23.8,1800
1,4,23.8,1800
3,3,23.9,1850
1,3,24,1700
11,4,24,1900
1,4,24.1,1800
1,4,24.2,1900
3,3,24.2,1650
1,4,24.3,2150
1,3,24.3,2000
6,4,24.5,2050
1,4,24.5,2250
2,4,24.5,2200
2,3,24.5,1600
7,2,24.5,1950
1,5,24.5,1900
1,3,24.5,2000
1,4,24.7,1900
1,5,24.7,2200
6,5,24.7,2100
5,3,24.7,2550
5,3,24.7,1950
1,4,24.8,2100
1,3,24.9,2100
7,3,24.9,2300
1,3,24.9,2200
4,2,25,2300
5,3,25,2100
3,3,25,2100
6,3,25,2400
7,3,25,2250
9,5,25,2100
6,3,25.1,2100
1,3,25.1,1800
2,3,25.2,2000
2,3,25.2,2000
3,3,25.3,1900
7,3,25.4,2250
5,3,25.4,2250
1,3,25.4,2300
1,5,25.5,2250
1,5,25.5,2750
1,4,25.5,2250
1,4,25.6,2150
8,4,25.6,2800
1,3,25.7,2000
9,3,25.7,2000
6,3,25.7,2000
1,4,25.7,1200
1,4,25.7,2100
1,5,25.7,2150
1,3,25.8,2650
4,5,25.8,2000
1,2,25.8,2600
1,3,25.8,2300
11,5,25.8,2250
1,3,25.8,2400
1,3,25.8,2200
5,4,25.9,2550
10,2,26,2300
5,4,26,2600
15,3,26,2300
6,3,26,2150
4,4,26,2200
4,3,26,2275
6,2,26.1,2800
4,4,26.1,2750
1,5,26.2,1300
4,4,26.2,2300
1,3,26.2,2400
4,3,26.2,2400
1,4,26.2,2225
3,3,26.2,2025
1,3,26.2,2300
3,4,26.2,2175
2,3,26.3,2400
1,2,26.5,2350
1,3,26.5,1300
2,4,26.5,1967
5,3,26.5,2300
5,3,26.5,2350
8,3,26.5,2750
3,4,26.7,2600
6,3,26.7,2700
1,5,26.7,2450
6,3,26.8,2700
1,3,26.8,2650
1,3,26.8,2550
4,4,27,2450
4,5,27,2250
7,3,27,2500
7,4,27,2500
1,5,27,2625
9,2,27.1,2950
1,4,27.1,2550
4,3,27.2,2700
6,4,27.2,2400
2,4,27.3,2900
6,3,27.4,2700
7,2,27.4,2700
4,3,27.4,2900
1,5,27.5,2600
7,3,27.5,3150
4,4,27.5,3100
1,5,27.5,2900
2,3,27.5,2550
7,3,27.5,2625
5,3,27.6,2850
7,2,27.7,2500
6,3,27.7,2900
1,3,27.8,2750
4,3,27.8,3250
7,3,27.9,2800
8,3,27.9,3050
2,3,28,2800
5,3,28,2900
1,2,28,2625
12,3,28.2,3050
7,3,28.2,2600
2,3,28.2,2867
9,3,28.2,3050
9,3,28.3,3050
16,3,28.3,3000
1,3,28.3,3200
4,4,28.4,3200
6,3,28.4,3100
10,4,28.5,3250
4,3,28.5,3000
1,3,28.5,3050
2,4,28.5,3000
4,3,28.7,3150
1,3,28.7,3200
5,4,28.9,2800
2,3,29,3000
11,3,29,3200
2,3,29,2800
2,3,29,3100
4,4,29,2925
5,4,29,3275
5,2,29.3,3200
13,5,29.3,3225
5,3,29.5,3025
6,3,29.7,3850
5,4,29.8,3500
6,3,30,3300
9,3,30,3050
10,3,30,3000
3,2,30.2,3275
4,3,30.3,3600
4,3,30.5,3325
5,3,31.7,3725
3,3,31.9,3325
8,3,33.5,5200
