lake,sex,size,food
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,fish
Hancock,male,small,invert
Hancock,male,small,other
Hancock,male,small,other
Hancock,male,small,other
Hancock,male,small,other
Hancock,male,small,other
Hancock,male,large,fish
Hancock,male,large,fish
Hancock,male,large,fish
Hancock,male,large,fish
Hancock,male,large,bird
Hancock,male,large,other
Hancock,male,large,other
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,fish
Hancock,female,small,invert
Hancock,female,small,invert
Hancock,female,small,invert
Hancock,female,small,reptile
Hancock,female,small,reptile
Hancock,female,small,bird
Hancock,female,small,bird
Hancock,female,small,other
Hancock,female,small,other
Hancock,female,small,other
Hancock,female,large,fish
Hancock,female,large,fish
Hancock,female,large,fish
Hancock,female,large,reptile
Hancock,female,large,bird
Hancock,female,large,bird
Hancock,female,large,other
Hancock,female,large,other
Hancock,female,large,other
Oklawaha,male,small,fish
Oklawaha,male,small,fish
Oklawaha,male,small,invert
Oklawaha,male,small,invert
Oklawaha,male,small,other
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,fish
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,invert
Oklawaha,male,large,reptile
Oklawaha,male,large,reptile
Oklawaha,male,large,reptile
Oklawaha,male,large,reptile
Oklawaha,male,large,reptile
Oklawaha,male,large,reptile
Oklawaha,female,small,fish
Oklawaha,female,small,fish
Oklawaha,female,small,fish
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,invert
Oklawaha,female,small,reptile
Oklawaha,female,small,other
Oklawaha,female,small,other
Oklawaha,female,large,invert
Oklawaha,female,large,bird
Trafford,male,small,fish
Trafford,male,small,fish
Trafford,male,small,fish
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,invert
Trafford,male,small,reptile
Trafford,male,small,other
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,fish
Trafford,male,large,invert
Trafford,male,large,invert
Trafford,male,large,invert
Trafford,male,large,invert
Trafford,male,large,invert
Trafford,male,large,invert
Trafford,male,large,reptile
Trafford,male,large,reptile
Trafford,male,large,reptile
Trafford,male,large,reptile
Trafford,male,large,reptile
Trafford,male,large,reptile
Trafford,male,large,bird
Trafford,male,large,bird
Trafford,male,large,bird
Trafford,male,large,other
Trafford,male,large,other
Trafford,male,large,other
Trafford,male,large,other
Trafford,male,large,other
Trafford,female,small,fish
Trafford,female,small,fish
Trafford,female,small,invert
Trafford,female,small,invert
Trafford,female,small,invert
Trafford,female,small,invert
Trafford,female,small,reptile
Trafford,female,small,bird
Trafford,female,small,other
Trafford,female,small,other
Trafford,female,small,other
Trafford,female,small,other
Trafford,female,large,invert
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,fish
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,invert
George,male,small,bird
George,male,small,bird
George,male,small,other
George,male,small,other
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,fish
George,male,large,bird
George,male,large,other
George,male,large,other
George,female,small,fish
George,female,small,fish
George,female,small,fish
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,invert
George,female,small,reptile
George,female,small,other
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,fish
George,female,large,invert
George,female,large,other
